"run","tick","PlantId","TotalDamge"
1,387.0,"crop",40432
1,387.0,"host",37138
1,388.0,"crop",42170
1,388.0,"host",38683
1,389.0,"crop",43927
1,389.0,"host",40164
1,390.0,"crop",45671
1,390.0,"host",41677
1,391.0,"crop",47335
1,391.0,"host",43247
1,392.0,"crop",49017
1,392.0,"host",44869
1,393.0,"crop",50724
1,393.0,"host",46411
1,394.0,"crop",52456
1,394.0,"host",47889
1,395.0,"crop",54190
1,395.0,"host",49401
1,396.0,"crop",55893
1,396.0,"host",50906
1,397.0,"crop",57576
1,397.0,"host",52356
1,398.0,"crop",59367
1,398.0,"host",53896
1,399.0,"crop",61006
1,399.0,"host",55365
1,400.0,"crop",62711
1,400.0,"host",56861
1,401.0,"crop",64404
1,401.0,"host",58405
1,402.0,"crop",66073
1,402.0,"host",59977
1,403.0,"crop",67783
1,403.0,"host",61402
1,404.0,"crop",69468
1,404.0,"host",62969
1,405.0,"crop",71137
1,405.0,"host",64442
1,406.0,"crop",72829
1,406.0,"host",65936
1,407.0,"crop",74508
1,407.0,"host",67428
1,408.0,"crop",76148
1,408.0,"host",68938
1,409.0,"crop",77793
1,409.0,"host",70405
1,410.0,"crop",79433
1,410.0,"host",71893
1,411.0,"crop",81065
1,411.0,"host",73512
1,412.0,"crop",82707
1,412.0,"host",75060
1,413.0,"crop",84318
1,413.0,"host",76517
1,414.0,"crop",85943
1,414.0,"host",78059
1,415.0,"crop",87516
1,415.0,"host",79604
1,416.0,"crop",89143
1,416.0,"host",81139
1,417.0,"crop",90740
1,417.0,"host",82647
1,418.0,"crop",92327
1,418.0,"host",84205
1,419.0,"crop",93918
1,419.0,"host",85707
1,420.0,"crop",95561
1,420.0,"host",87156
1,421.0,"crop",97164
1,421.0,"host",88730
1,422.0,"crop",98844
1,422.0,"host",90176
1,423.0,"crop",100474
1,423.0,"host",91607
1,424.0,"crop",102091
1,424.0,"host",93069
1,425.0,"crop",103689
1,425.0,"host",94595
1,426.0,"crop",105350
1,426.0,"host",96184
1,427.0,"crop",106963
1,427.0,"host",97625
1,428.0,"crop",108571
1,428.0,"host",98994
1,429.0,"crop",110204
1,429.0,"host",100505
1,430.0,"crop",111758
1,430.0,"host",102094
1,431.0,"crop",113406
1,431.0,"host",103551
1,432.0,"crop",114966
1,432.0,"host",104990
1,433.0,"crop",116536
1,433.0,"host",106454
1,434.0,"crop",118131
1,434.0,"host",107932
1,435.0,"crop",119686
1,435.0,"host",109359
1,436.0,"crop",121246
1,436.0,"host",110822
1,437.0,"crop",122819
1,437.0,"host",112338
1,438.0,"crop",124384
1,438.0,"host",113781
1,439.0,"crop",125958
1,439.0,"host",115234
1,440.0,"crop",127469
1,440.0,"host",116597
1,441.0,"crop",129065
1,441.0,"host",118157
1,442.0,"crop",130533
1,442.0,"host",119621
1,443.0,"crop",132042
1,443.0,"host",121038
1,444.0,"crop",133527
1,444.0,"host",122536
1,445.0,"crop",135058
1,445.0,"host",124044
1,446.0,"crop",136557
1,446.0,"host",125489
1,447.0,"crop",138105
1,447.0,"host",126867
1,448.0,"crop",139561
1,448.0,"host",128309
1,449.0,"crop",141043
1,449.0,"host",129847
1,450.0,"crop",142507
1,450.0,"host",131289
1,451.0,"crop",143926
1,451.0,"host",132723
1,452.0,"crop",145433
1,452.0,"host",134242
1,453.0,"crop",146856
1,453.0,"host",135658
1,454.0,"crop",148290
1,454.0,"host",137155
1,455.0,"crop",149749
1,455.0,"host",138636
1,456.0,"crop",151222
1,456.0,"host",140083
1,457.0,"crop",152674
1,457.0,"host",141529
1,458.0,"crop",154108
1,458.0,"host",143001
1,459.0,"crop",155569
1,459.0,"host",144425
1,460.0,"crop",157006
1,460.0,"host",145857
1,461.0,"crop",158469
1,461.0,"host",147323
1,462.0,"crop",159905
1,462.0,"host",148755
1,463.0,"crop",161337
1,463.0,"host",150272
1,464.0,"crop",162777
1,464.0,"host",151716
1,465.0,"crop",164233
1,465.0,"host",153082
1,466.0,"crop",165661
1,466.0,"host",154564
1,467.0,"crop",167083
1,467.0,"host",155958
1,468.0,"crop",168478
1,468.0,"host",157408
1,469.0,"crop",169859
1,469.0,"host",158832
1,470.0,"crop",171282
1,470.0,"host",160298
1,471.0,"crop",172643
1,471.0,"host",161722
1,472.0,"crop",174012
1,472.0,"host",163191
1,473.0,"crop",175364
1,473.0,"host",164538
1,474.0,"crop",176731
1,474.0,"host",165926
1,475.0,"crop",178100
1,475.0,"host",167373
1,476.0,"crop",179430
1,476.0,"host",168814
1,477.0,"crop",180816
1,477.0,"host",170158
1,478.0,"crop",182202
1,478.0,"host",171522
1,479.0,"crop",183548
1,479.0,"host",172899
1,480.0,"crop",184891
1,480.0,"host",174331
1,481.0,"crop",186188
1,481.0,"host",175690
1,482.0,"crop",187534
1,482.0,"host",177185
1,483.0,"crop",188902
1,483.0,"host",178607
1,484.0,"crop",190206
1,484.0,"host",179970
1,485.0,"crop",191529
1,485.0,"host",181333
1,486.0,"crop",192856
1,486.0,"host",182761
1,487.0,"crop",194157
1,487.0,"host",184166
1,488.0,"crop",195477
1,488.0,"host",185583
1,489.0,"crop",196801
1,489.0,"host",186907
1,490.0,"crop",198140
1,490.0,"host",188286
1,491.0,"crop",199434
1,491.0,"host",189700
1,492.0,"crop",200761
1,492.0,"host",191082
1,493.0,"crop",202082
1,493.0,"host",192472
1,494.0,"crop",203398
1,494.0,"host",193890
1,495.0,"crop",204677
1,495.0,"host",195348
1,496.0,"crop",206010
1,496.0,"host",196689
1,497.0,"crop",207314
1,497.0,"host",197978
1,498.0,"crop",208545
1,498.0,"host",199454
1,499.0,"crop",209858
1,499.0,"host",200913
1,500.0,"crop",211147
1,500.0,"host",202262
1,501.0,"crop",212416
1,501.0,"host",203550
1,502.0,"crop",213679
1,502.0,"host",204997
1,503.0,"crop",214974
1,503.0,"host",206348
1,504.0,"crop",216198
1,504.0,"host",207725
1,505.0,"crop",217500
1,505.0,"host",209163
1,506.0,"crop",218758
1,506.0,"host",210542
1,507.0,"crop",220013
1,507.0,"host",211817
1,508.0,"crop",221247
1,508.0,"host",213196
1,509.0,"crop",222479
1,509.0,"host",214633
1,510.0,"crop",223660
1,510.0,"host",216005
1,511.0,"crop",224886
1,511.0,"host",217335
1,512.0,"crop",226086
1,512.0,"host",218769
1,513.0,"crop",227294
1,513.0,"host",220215
1,514.0,"crop",228527
1,514.0,"host",221573
1,515.0,"crop",229720
1,515.0,"host",222937
1,516.0,"crop",230966
1,516.0,"host",224325
1,517.0,"crop",232175
1,517.0,"host",225662
1,518.0,"crop",233354
1,518.0,"host",227061
1,519.0,"crop",234509
1,519.0,"host",228434
1,520.0,"crop",235673
1,520.0,"host",229850
1,521.0,"crop",236879
1,521.0,"host",231207
1,522.0,"crop",238027
1,522.0,"host",232544
1,523.0,"crop",239221
1,523.0,"host",233852
1,524.0,"crop",240349
1,524.0,"host",235225
1,525.0,"crop",241460
1,525.0,"host",236641
1,526.0,"crop",242626
1,526.0,"host",238021
1,527.0,"crop",243737
1,527.0,"host",239324
1,528.0,"crop",244926
1,528.0,"host",240724
1,529.0,"crop",246065
1,529.0,"host",242018
1,530.0,"crop",247180
1,530.0,"host",243386
1,531.0,"crop",248320
1,531.0,"host",244729
1,532.0,"crop",249445
1,532.0,"host",246084
1,533.0,"crop",250545
1,533.0,"host",247414
1,534.0,"crop",251648
1,534.0,"host",248759
1,535.0,"crop",252748
1,535.0,"host",250122
1,536.0,"crop",253823
1,536.0,"host",251492
1,537.0,"crop",254929
1,537.0,"host",252837
1,538.0,"crop",256001
1,538.0,"host",254191
1,539.0,"crop",257099
1,539.0,"host",255587
1,540.0,"crop",258153
1,540.0,"host",256943
1,541.0,"crop",259255
1,541.0,"host",258288
1,542.0,"crop",260329
1,542.0,"host",259603
1,543.0,"crop",261406
1,543.0,"host",260990
1,544.0,"crop",262458
1,544.0,"host",262297
1,545.0,"crop",263480
1,545.0,"host",263647
1,546.0,"crop",0
1,546.0,"host",0
1,547.0,"crop",0
1,547.0,"host",0
1,548.0,"crop",0
1,548.0,"host",0
1,549.0,"crop",0
1,549.0,"host",0
1,550.0,"crop",0
1,550.0,"host",0
1,551.0,"crop",0
1,551.0,"host",0
1,552.0,"crop",0
1,552.0,"host",0
1,553.0,"crop",0
1,553.0,"host",0
1,554.0,"crop",0
1,554.0,"host",0
1,555.0,"crop",0
1,555.0,"host",0
1,556.0,"crop",0
1,556.0,"host",0
1,557.0,"crop",0
1,557.0,"host",0
1,558.0,"crop",0
1,558.0,"host",0
1,559.0,"crop",0
1,559.0,"host",0
1,560.0,"crop",0
1,560.0,"host",0
1,561.0,"crop",0
1,561.0,"host",0
1,562.0,"crop",0
1,562.0,"host",0
1,563.0,"crop",0
1,563.0,"host",0
1,564.0,"crop",0
1,564.0,"host",0
1,565.0,"crop",0
1,565.0,"host",0
1,566.0,"crop",0
1,566.0,"host",0
1,567.0,"crop",0
1,567.0,"host",0
1,568.0,"crop",0
1,568.0,"host",0
1,569.0,"crop",0
1,569.0,"host",0
1,570.0,"crop",0
1,570.0,"host",0
1,571.0,"crop",0
1,571.0,"host",0
1,572.0,"crop",0
1,572.0,"host",0
1,573.0,"crop",0
1,573.0,"host",0
